# q=  0.16000000E-02  0.20000000E-03 -0.20000000E-03  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
     104     -0.27845267E-07     -0.29492081E-07     -0.27712026E-03     -0.61817926E-03
     105     -0.27867757E-07     -0.29492081E-07     -0.27854691E-03     -0.61817926E-03
     106     -0.27888225E-07     -0.29492081E-07     -0.28006080E-03     -0.61817926E-03
     107     -0.27908553E-07     -0.29492081E-07     -0.28155975E-03     -0.61817926E-03
     108     -0.27927076E-07     -0.29492081E-07     -0.28313544E-03     -0.61817926E-03
     109     -0.27946449E-07     -0.29492081E-07     -0.28457447E-03     -0.61817926E-03
     110     -0.27967223E-07     -0.29492081E-07     -0.28596736E-03     -0.61817926E-03
     111     -0.27986066E-07     -0.29492081E-07     -0.28749477E-03     -0.61817926E-03
     112     -0.28005437E-07     -0.29492081E-07     -0.28897275E-03     -0.61817926E-03
     113     -0.28023929E-07     -0.29492081E-07     -0.29047824E-03     -0.61817926E-03
     114     -0.28042827E-07     -0.29492081E-07     -0.29188028E-03     -0.61817926E-03
     115     -0.28061540E-07     -0.29492081E-07     -0.29326584E-03     -0.61817926E-03
     116     -0.28078132E-07     -0.29492081E-07     -0.29488602E-03     -0.61817926E-03
     117     -0.28094940E-07     -0.29492081E-07     -0.29657210E-03     -0.61817926E-03
     118     -0.28110147E-07     -0.29492081E-07     -0.29822656E-03     -0.61817926E-03
     119     -0.28125859E-07     -0.29492081E-07     -0.29973226E-03     -0.61817926E-03
     120     -0.28140555E-07     -0.29492081E-07     -0.30123380E-03     -0.61817926E-03
     121     -0.28155843E-07     -0.29492081E-07     -0.30270547E-03     -0.61817926E-03
     122     -0.28169686E-07     -0.29492081E-07     -0.30415987E-03     -0.61817926E-03
     123     -0.28183371E-07     -0.29492081E-07     -0.30572111E-03     -0.61817926E-03
     124     -0.28197922E-07     -0.29492081E-07     -0.30723480E-03     -0.61817926E-03
     125     -0.28210872E-07     -0.29492081E-07     -0.30873700E-03     -0.61817926E-03
     126     -0.28223635E-07     -0.29492081E-07     -0.31014455E-03     -0.61817926E-03
     127     -0.28236398E-07     -0.29492081E-07     -0.31161088E-03     -0.61817926E-03
     128     -0.28249475E-07     -0.29492081E-07     -0.31303513E-03     -0.61817926E-03
     129     -0.28261783E-07     -0.29492081E-07     -0.31449948E-03     -0.61817926E-03
     130     -0.28274313E-07     -0.29492081E-07     -0.31583153E-03     -0.61817926E-03
     131     -0.28285682E-07     -0.29492081E-07     -0.31712434E-03     -0.61817926E-03
     132     -0.28296988E-07     -0.29492081E-07     -0.31850480E-03     -0.61817926E-03
     133     -0.28308400E-07     -0.29492081E-07     -0.31974983E-03     -0.61817926E-03
     134     -0.28318762E-07     -0.29492081E-07     -0.32099846E-03     -0.61817926E-03
     135     -0.28329965E-07     -0.29492081E-07     -0.32223804E-03     -0.61817926E-03
     136     -0.28341295E-07     -0.29492081E-07     -0.32353899E-03     -0.61817926E-03
     137     -0.28351803E-07     -0.29492081E-07     -0.32482824E-03     -0.61817926E-03
     138     -0.28362358E-07     -0.29492081E-07     -0.32614914E-03     -0.61817926E-03
     139     -0.28372527E-07     -0.29492081E-07     -0.32743541E-03     -0.61817926E-03
     140     -0.28383348E-07     -0.29492081E-07     -0.32867471E-03     -0.61817926E-03
     141     -0.28393960E-07     -0.29492081E-07     -0.32988309E-03     -0.61817926E-03
     142     -0.28403623E-07     -0.29492081E-07     -0.33124229E-03     -0.61817926E-03
     143     -0.28412862E-07     -0.29492081E-07     -0.33252538E-03     -0.61817926E-03
     144     -0.28421465E-07     -0.29492081E-07     -0.33380934E-03     -0.61817926E-03
     145     -0.28429060E-07     -0.29492081E-07     -0.33507111E-03     -0.61817926E-03
     146     -0.28437442E-07     -0.29492081E-07     -0.33636671E-03     -0.61817926E-03
     147     -0.28445689E-07     -0.29492081E-07     -0.33767230E-03     -0.61817926E-03
     148     -0.28454371E-07     -0.29492081E-07     -0.33897293E-03     -0.61817926E-03
     149     -0.28462004E-07     -0.29492081E-07     -0.34030612E-03     -0.61817926E-03
     150     -0.28470188E-07     -0.29492081E-07     -0.34164455E-03     -0.61817926E-03
     151     -0.28478098E-07     -0.29492081E-07     -0.34289901E-03     -0.61817926E-03
     152     -0.28486247E-07     -0.29492081E-07     -0.34427186E-03     -0.61817926E-03
     153     -0.28493960E-07     -0.29492081E-07     -0.34559689E-03     -0.61817926E-03
     154     -0.28501373E-07     -0.29492081E-07     -0.34691722E-03     -0.61817926E-03
     155     -0.28508027E-07     -0.29492081E-07     -0.34829646E-03     -0.61817926E-03
     156     -0.28515203E-07     -0.29492081E-07     -0.34965782E-03     -0.61817926E-03
     157     -0.28521994E-07     -0.29492081E-07     -0.35088523E-03     -0.61817926E-03
     158     -0.28529627E-07     -0.29492081E-07     -0.35216047E-03     -0.61817926E-03
     159     -0.28536010E-07     -0.29492081E-07     -0.35346593E-03     -0.61817926E-03
     160     -0.28543192E-07     -0.29492081E-07     -0.35473794E-03     -0.61817926E-03
     161     -0.28549879E-07     -0.29492081E-07     -0.35606189E-03     -0.61817926E-03
     162     -0.28556292E-07     -0.29492081E-07     -0.35725467E-03     -0.61817926E-03
     163     -0.28563019E-07     -0.29492081E-07     -0.35848421E-03     -0.61817926E-03
     164     -0.28569906E-07     -0.29492081E-07     -0.35976778E-03     -0.61817926E-03
     165     -0.28577178E-07     -0.29492081E-07     -0.36109499E-03     -0.61817926E-03
     166     -0.28583699E-07     -0.29492081E-07     -0.36239604E-03     -0.61817926E-03
     167     -0.28589843E-07     -0.29492081E-07     -0.36365304E-03     -0.61817926E-03
     168     -0.28595625E-07     -0.29492081E-07     -0.36495996E-03     -0.61817926E-03
     169     -0.28601668E-07     -0.29492081E-07     -0.36616557E-03     -0.61817926E-03
     170     -0.28607371E-07     -0.29492081E-07     -0.36755254E-03     -0.61817926E-03
     171     -0.28613103E-07     -0.29492081E-07     -0.36885990E-03     -0.61817926E-03
     172     -0.28618325E-07     -0.29492081E-07     -0.37020291E-03     -0.61817926E-03
     173     -0.28623555E-07     -0.29492081E-07     -0.37154639E-03     -0.61817926E-03
     174     -0.28629193E-07     -0.29492081E-07     -0.37288005E-03     -0.61817926E-03
     175     -0.28634139E-07     -0.29492081E-07     -0.37422799E-03     -0.61817926E-03
     176     -0.28639583E-07     -0.29492081E-07     -0.37541776E-03     -0.61817926E-03
     177     -0.28644717E-07     -0.29492081E-07     -0.37659536E-03     -0.61817926E-03
     178     -0.28649842E-07     -0.29492081E-07     -0.37790087E-03     -0.61817926E-03
     179     -0.28655186E-07     -0.29492081E-07     -0.37909949E-03     -0.61817926E-03
     180     -0.28660367E-07     -0.29492081E-07     -0.38020682E-03     -0.61817926E-03
     181     -0.28665674E-07     -0.29492081E-07     -0.38134205E-03     -0.61817926E-03
     182     -0.28670547E-07     -0.29492081E-07     -0.38246671E-03     -0.61817926E-03
     183     -0.28675447E-07     -0.29492081E-07     -0.38349783E-03     -0.61817926E-03
     184     -0.28679938E-07     -0.29492081E-07     -0.38458654E-03     -0.61817926E-03
     185     -0.28684573E-07     -0.29492081E-07     -0.38574706E-03     -0.61817926E-03
     186     -0.28688958E-07     -0.29492081E-07     -0.38689280E-03     -0.61817926E-03
     187     -0.28693638E-07     -0.29492081E-07     -0.38809480E-03     -0.61817926E-03
     188     -0.28698452E-07     -0.29492081E-07     -0.38920568E-03     -0.61817926E-03
     189     -0.28702871E-07     -0.29492081E-07     -0.39035530E-03     -0.61817926E-03
     190     -0.28706968E-07     -0.29492081E-07     -0.39150588E-03     -0.61817926E-03
     191     -0.28711262E-07     -0.29492081E-07     -0.39248565E-03     -0.61817926E-03
     192     -0.28715424E-07     -0.29492081E-07     -0.39368833E-03     -0.61817926E-03
     193     -0.28719931E-07     -0.29492081E-07     -0.39477621E-03     -0.61817926E-03
     194     -0.28724259E-07     -0.29492081E-07     -0.39582158E-03     -0.61817926E-03
     195     -0.28728236E-07     -0.29492081E-07     -0.39686332E-03     -0.61817926E-03
     196     -0.28732048E-07     -0.29492081E-07     -0.39789204E-03     -0.61817926E-03
     197     -0.28735816E-07     -0.29492081E-07     -0.39894572E-03     -0.61817926E-03
     198     -0.28739575E-07     -0.29492081E-07     -0.39999792E-03     -0.61817926E-03
     199     -0.28743431E-07     -0.29492081E-07     -0.40109499E-03     -0.61817926E-03
     200     -0.28747543E-07     -0.29492081E-07     -0.40207386E-03     -0.61817926E-03
     201     -0.28751280E-07     -0.29492081E-07     -0.40314548E-03     -0.61817926E-03
     202     -0.28755244E-07     -0.29492081E-07     -0.40421835E-03     -0.61817926E-03
     203     -0.28759226E-07     -0.29492081E-07     -0.40518106E-03     -0.61817926E-03
     204     -0.28763329E-07     -0.29492081E-07     -0.40612438E-03     -0.61817926E-03
     205     -0.28766716E-07     -0.29492081E-07     -0.40706641E-03     -0.61817926E-03
     206     -0.28770073E-07     -0.29492081E-07     -0.40809768E-03     -0.61817926E-03
     207     -0.28773640E-07     -0.29492081E-07     -0.40908382E-03     -0.61817926E-03
     208     -0.28777403E-07     -0.29492081E-07     -0.41014045E-03     -0.61817926E-03
     209     -0.28780747E-07     -0.29492081E-07     -0.41109439E-03     -0.61817926E-03
     210     -0.28784154E-07     -0.29492081E-07     -0.41211538E-03     -0.61817926E-03
     211     -0.28787497E-07     -0.29492081E-07     -0.41303607E-03     -0.61817926E-03
     212     -0.28790590E-07     -0.29492081E-07     -0.41397190E-03     -0.61817926E-03
     213     -0.28793756E-07     -0.29492081E-07     -0.41502323E-03     -0.61817926E-03
     214     -0.28796719E-07     -0.29492081E-07     -0.41607467E-03     -0.61817926E-03
     215     -0.28799978E-07     -0.29492081E-07     -0.41703666E-03     -0.61817926E-03
     216     -0.28802778E-07     -0.29492081E-07     -0.41806780E-03     -0.61817926E-03
     217     -0.28805642E-07     -0.29492081E-07     -0.41900228E-03     -0.61817926E-03
     218     -0.28808668E-07     -0.29492081E-07     -0.42006454E-03     -0.61817926E-03

# q=  0.00000000E+00  0.00000000E+00  0.25000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.25294998E-03     -0.23948804E-02     -0.20868423E-05     -0.64577515E-03
       2     -0.49510049E-03     -0.23948804E-02     -0.40904388E-05     -0.64577515E-03
       3     -0.54848919E-03     -0.23948804E-02     -0.57170836E-05     -0.64577515E-03
       4     -0.60434491E-03     -0.23948804E-02     -0.74118133E-05     -0.64577515E-03
       5     -0.75563780E-03     -0.23948804E-02     -0.10047404E-04     -0.64577515E-03
       6     -0.87666860E-03     -0.23948804E-02     -0.13318716E-04     -0.64577515E-03
       7     -0.92336857E-03     -0.23948804E-02     -0.19935801E-04     -0.64577515E-03
       8     -0.96331543E-03     -0.23948804E-02     -0.25717815E-04     -0.64577515E-03
       9     -0.10097055E-02     -0.23948804E-02     -0.30070820E-04     -0.64577515E-03
      10     -0.10441284E-02     -0.23948804E-02     -0.33784265E-04     -0.64577515E-03
      11     -0.11031297E-02     -0.23948804E-02     -0.36927175E-04     -0.64577515E-03
      12     -0.11580134E-02     -0.23948804E-02     -0.40088094E-04     -0.64577515E-03
      13     -0.12045593E-02     -0.23948804E-02     -0.43309851E-04     -0.64577515E-03
      14     -0.12518075E-02     -0.23948804E-02     -0.45603700E-04     -0.64577515E-03
      15     -0.12984770E-02     -0.23948804E-02     -0.48220863E-04     -0.64577515E-03
      16     -0.13430186E-02     -0.23948804E-02     -0.50841019E-04     -0.64577515E-03
      17     -0.13743221E-02     -0.23948804E-02     -0.53978742E-04     -0.64577515E-03
      18     -0.14061278E-02     -0.23948804E-02     -0.57246077E-04     -0.64577515E-03
      19     -0.14403151E-02     -0.23948804E-02     -0.60459537E-04     -0.64577515E-03
      20     -0.14696962E-02     -0.23948804E-02     -0.63209016E-04     -0.64577515E-03
      21     -0.14968079E-02     -0.23948804E-02     -0.66420558E-04     -0.64577515E-03
      22     -0.15272715E-02     -0.23948804E-02     -0.69530549E-04     -0.64577515E-03
      23     -0.15534702E-02     -0.23948804E-02     -0.73061973E-04     -0.64577515E-03
      24     -0.15774221E-02     -0.23948804E-02     -0.77178232E-04     -0.64577515E-03
      25     -0.16002735E-02     -0.23948804E-02     -0.80891649E-04     -0.64577515E-03
      26     -0.16248333E-02     -0.23948804E-02     -0.84803543E-04     -0.64577515E-03
      27     -0.16445067E-02     -0.23948804E-02     -0.89309243E-04     -0.64577515E-03
      28     -0.16658590E-02     -0.23948804E-02     -0.92297473E-04     -0.64577515E-03
      29     -0.16851822E-02     -0.23948804E-02     -0.96741264E-04     -0.64577515E-03
      30     -0.17038097E-02     -0.23948804E-02     -0.10016710E-03     -0.64577515E-03
      31     -0.17235240E-02     -0.23948804E-02     -0.10358450E-03     -0.64577515E-03
      32     -0.17416144E-02     -0.23948804E-02     -0.10756762E-03     -0.64577515E-03
      33     -0.17596499E-02     -0.23948804E-02     -0.11147989E-03     -0.64577515E-03
      34     -0.17775378E-02     -0.23948804E-02     -0.11551469E-03     -0.64577515E-03
      35     -0.17962929E-02     -0.23948804E-02     -0.11886468E-03     -0.64577515E-03
      36     -0.18111025E-02     -0.23948804E-02     -0.12280248E-03     -0.64577515E-03
      37     -0.18274575E-02     -0.23948804E-02     -0.12654336E-03     -0.64577515E-03
      38     -0.18406963E-02     -0.23948804E-02     -0.13200395E-03     -0.64577515E-03
      39     -0.18534674E-02     -0.23948804E-02     -0.13713582E-03     -0.64577515E-03
      40     -0.18670874E-02     -0.23948804E-02     -0.14177993E-03     -0.64577515E-03
      41     -0.18804888E-02     -0.23948804E-02     -0.14635519E-03     -0.64577515E-03
      42     -0.18938203E-02     -0.23948804E-02     -0.15077442E-03     -0.64577515E-03
      43     -0.19038944E-02     -0.23948804E-02     -0.15679987E-03     -0.64577515E-03
      44     -0.19188046E-02     -0.23948804E-02     -0.16106415E-03     -0.64577515E-03
      45     -0.19319720E-02     -0.23948804E-02     -0.16537005E-03     -0.64577515E-03
      46     -0.19441011E-02     -0.23948804E-02     -0.17014861E-03     -0.64577515E-03
      47     -0.19564883E-02     -0.23948804E-02     -0.17398883E-03     -0.64577515E-03
      48     -0.19685721E-02     -0.23948804E-02     -0.17707075E-03     -0.64577515E-03
      49     -0.19802170E-02     -0.23948804E-02     -0.17991590E-03     -0.64577515E-03
      50     -0.19919277E-02     -0.23948804E-02     -0.18279495E-03     -0.64577515E-03
      51     -0.20012667E-02     -0.23948804E-02     -0.18580288E-03     -0.64577515E-03
      52     -0.20121564E-02     -0.23948804E-02     -0.18885770E-03     -0.64577515E-03
      53     -0.20213887E-02     -0.23948804E-02     -0.19155403E-03     -0.64577515E-03
      54     -0.20305305E-02     -0.23948804E-02     -0.19470105E-03     -0.64577515E-03
      55     -0.20393164E-02     -0.23948804E-02     -0.19742781E-03     -0.64577515E-03
      56     -0.20477842E-02     -0.23948804E-02     -0.19984050E-03     -0.64577515E-03
      57     -0.20558984E-02     -0.23948804E-02     -0.20232457E-03     -0.64577515E-03
      58     -0.20641876E-02     -0.23948804E-02     -0.20534648E-03     -0.64577515E-03
      59     -0.20719120E-02     -0.23948804E-02     -0.20809808E-03     -0.64577515E-03
      60     -0.20797105E-02     -0.23948804E-02     -0.21055260E-03     -0.64577515E-03
      61     -0.20881960E-02     -0.23948804E-02     -0.21269892E-03     -0.64577515E-03
      62     -0.20957021E-02     -0.23948804E-02     -0.21506769E-03     -0.64577515E-03
      63     -0.21022858E-02     -0.23948804E-02     -0.21734099E-03     -0.64577515E-03
      64     -0.21091743E-02     -0.23948804E-02     -0.21946821E-03     -0.64577515E-03
      65     -0.21157698E-02     -0.23948804E-02     -0.22181549E-03     -0.64577515E-03
      66     -0.21218244E-02     -0.23948804E-02     -0.22407649E-03     -0.64577515E-03
      67     -0.21267331E-02     -0.23948804E-02     -0.22640846E-03     -0.64577515E-03
      68     -0.21323940E-02     -0.23948804E-02     -0.22856509E-03     -0.64577515E-03
      69     -0.21378084E-02     -0.23948804E-02     -0.23102126E-03     -0.64577515E-03
      70     -0.21428030E-02     -0.23948804E-02     -0.23327944E-03     -0.64577515E-03
      71     -0.21480560E-02     -0.23948804E-02     -0.23565129E-03     -0.64577515E-03
      72     -0.21526438E-02     -0.23948804E-02     -0.23771835E-03     -0.64577515E-03
      73     -0.21570709E-02     -0.23948804E-02     -0.24004512E-03     -0.64577515E-03
      74     -0.21611317E-02     -0.23948804E-02     -0.24237444E-03     -0.64577515E-03
      75     -0.21646851E-02     -0.23948804E-02     -0.24477027E-03     -0.64577515E-03
      76     -0.21684612E-02     -0.23948804E-02     -0.24740399E-03     -0.64577515E-03
      77     -0.21722156E-02     -0.23948804E-02     -0.24978493E-03     -0.64577515E-03
      78     -0.21756255E-02     -0.23948804E-02     -0.25191932E-03     -0.64577515E-03
      79     -0.21793360E-02     -0.23948804E-02     -0.25424821E-03     -0.64577515E-03
      80     -0.21832862E-02     -0.23948804E-02     -0.25624465E-03     -0.64577515E-03
      81     -0.21866028E-02     -0.23948804E-02     -0.25817396E-03     -0.64577515E-03
      82     -0.21897478E-02     -0.23948804E-02     -0.26012809E-03     -0.64577515E-03
      83     -0.21931413E-02     -0.23948804E-02     -0.26182204E-03     -0.64577515E-03
      84     -0.21961858E-02     -0.23948804E-02     -0.26376334E-03     -0.64577515E-03
      85     -0.21992961E-02     -0.23948804E-02     -0.26566225E-03     -0.64577515E-03
      86     -0.22023661E-02     -0.23948804E-02     -0.26743832E-03     -0.64577515E-03
      87     -0.22051479E-02     -0.23948804E-02     -0.26929277E-03     -0.64577515E-03
      88     -0.22083250E-02     -0.23948804E-02     -0.27113248E-03     -0.64577515E-03
      89     -0.22110348E-02     -0.23948804E-02     -0.27299819E-03     -0.64577515E-03
      90     -0.22139791E-02     -0.23948804E-02     -0.27493699E-03     -0.64577515E-03
      91     -0.22168209E-02     -0.23948804E-02     -0.27668325E-03     -0.64577515E-03
      92     -0.22197836E-02     -0.23948804E-02     -0.27823680E-03     -0.64577515E-03
      93     -0.22225269E-02     -0.23948804E-02     -0.28002509E-03     -0.64577515E-03
      94     -0.22253806E-02     -0.23948804E-02     -0.28148828E-03     -0.64577515E-03
      95     -0.22283693E-02     -0.23948804E-02     -0.28305932E-03     -0.64577515E-03
      96     -0.22307133E-02     -0.23948804E-02     -0.28503087E-03     -0.64577515E-03
      97     -0.22333513E-02     -0.23948804E-02     -0.28655082E-03     -0.64577515E-03
      98     -0.22357682E-02     -0.23948804E-02     -0.28812164E-03     -0.64577515E-03
      99     -0.22379892E-02     -0.23948804E-02     -0.28986632E-03     -0.64577515E-03
     100     -0.22403400E-02     -0.23948804E-02     -0.29136335E-03     -0.64577515E-03
     101     -0.22423475E-02     -0.23948804E-02     -0.29292351E-03     -0.64577515E-03
     102     -0.22446413E-02     -0.23948804E-02     -0.29439117E-03     -0.64577515E-03
