# Atom  dir  RPA_diag RPA_diag_offiag 
16 y 0.01313021679880413 0.012935997815914283 
16 z -1.1144294266935904e-05 -6.3792270872942495e-06 
17 x 0.004634369043436343 0.0034903366158669457 
17 y 0.013130309147078823 0.01293721843806523 
17 z 8.162697271671284e-06 3.331257762033736e-05 
18 x 0.0046331278440481525 0.0034771723168897308 
18 y -0.013128344065238159 -0.01293905845232919 
18 z 1.1148967965868242e-05 6.402960659472069e-06 
19 x 0.010159470517753958 0.00974011019493329 
19 y -0.013872512370407377 -0.013936437288948363 
19 z 0.0025231891827567927 0.0014191233795159517 
20 x 0.010165437325051072 0.009741491554605098 
20 y 0.013878825675213357 0.013952308617295604 
20 z -0.002511760406931762 -0.0013923644443193574 
21 x -0.010165366226678367 -0.009732387819305412 
21 y 0.01387938317938933 0.013959429672082723 
21 z 0.0025106974623057368 0.001400502038962144 
22 x -0.010157783649869436 -0.00971950949378544 
22 y -0.013869786688097525 -0.013950793435170389 
22 z -0.002525501647065638 -0.00141290760845402 
23 x -0.010158707854684788 -0.009738534832288454 
23 y 0.013871866491911952 0.013934463529599544 
23 z -0.0025229539466978404 -0.0014184235921571395 
24 x -0.010164579135468896 -0.009739843757263549 
24 y -0.013878068267451823 -0.0139502314794404 
24 z 0.002511597677564411 0.0013917354153844814 
25 x 0.010166155410656562 0.009733979221414151 
25 y -0.013880059288933447 -0.013961416609781474 
25 z -0.002510898380479224 -0.0014011852609598545 
26 x 0.01015862664164178 0.009721145297761974 
26 y 0.013870520428934139 0.013952835984705 
26 z 0.0025256676407805516 0.001413549683826944 
27 x 0.0025676167311353953 0.0028090921330877028 
27 y 0.00019350234870093254 3.391833924729357e-05 
27 z -7.886873436780396e-07 1.3399927445525285e-06 
28 x 0.0025623218087230328 0.002804819695958496 
28 y -0.0001944923580586555 -3.21165609891682e-05 
28 z 5.367951201181433e-07 -1.432348268141205e-07 
29 x -0.002567728013916112 -0.0028093563794711536 
29 y -0.00019179934885308147 -3.598418085313879e-05 
29 z 7.730135152326542e-07 -1.3542257740396464e-06 
30 x -0.0025623914433757465 -0.0028050368725528086 
30 y 0.00019290557152588323 3.428059894870576e-05 
30 z -5.309410169267133e-07 1.4994224174972766e-07 
31 x 0.0031525136503118873 0.0038445464049244394 
31 y -0.007649678267263874 -0.007799898046552044 
31 z 0.00085559823603469 0.001436035397593408 
32 x 0.0031466949988409724 0.0038442100727853336 
32 y 0.007658368413292534 0.007801436306622225 
32 z -0.0008645857334474102 -0.0014461071800792424 
33 x -0.003146565971270675 -0.0038430726796921427 
33 y 0.007656956033125269 0.007803603964402808 
33 z 0.0008624473917712568 0.0014474750010459911 
34 x -0.0031510038436766644 -0.003847160371349943 
34 y -0.007648514719698561 -0.00779482803713917 
34 z -0.000853470908521421 -0.00143726154809755 
35 x -0.0031513626038125386 -0.003844382055925382 
35 y 0.007649053871096634 0.007799260127296539 
35 z -0.0008548812886802797 -0.0014362110898838033 
36 x -0.0031455552283346402 -0.0038440580919749086 
36 y -0.00765774838193214 -0.007800796538661566 
36 z 0.0008638959273090522 0.0014463129194148205 
37 x 0.0031477051834368813 0.003843221580271895 
37 y -0.0076575858530822435 -0.007804242439750062 
37 z -0.0008631780160341402 -0.0014472974488261442 
38 x 0.0031521379878643235 0.003847305895522765 
38 y 0.007649149135779151 0.0077954738217071995 
38 z 0.0008541814308980432 0.0014370712581000611 
39 x -0.0034021549077387922 -0.002659810176223136 
39 y 0.007884899430854382 0.0073651255632833194 
39 z -0.004728813153061447 -0.004779750013634765 
40 x -0.0034018140123841475 -0.0026540539121976746 
40 y -0.00789836149320003 -0.007365124845228299 
40 z 0.004714172874983042 0.004762806147394752 
41 x 0.0034027002340999146 0.0026588902930285 
41 y -0.007896107633929516 -0.007358929933772676 
41 z -0.004716335949553786 -0.0047395017644782725 
42 x 0.0034008297304274934 0.0026500102098652744 
42 y 0.007889909564529849 0.007344627227327883 
42 z 0.004737735650889523 0.004756136110614302 
43 x 0.0034016879234680334 0.0026608669855748258 
43 y -0.00788636142191414 -0.007366225534814362 
43 z 0.0047328232463517625 0.004778005932410455 
44 x 0.003401439259584363 0.0026551817727122084 
44 y 0.007899929420406335 0.007366291860667217 
44 z -0.004718723551764171 -0.0047615051489159985 
45 x -0.003403148054523629 -0.0026577938998497666 
45 y 0.007894596481452642 0.007357774380240894 
45 z 0.004712290558924078 0.004741191574460765 
46 x -0.0034011952323386853 -0.002648845616048142 
46 y -0.007888327448980758 -0.007343441757973184 
46 z -0.004733181608244961 -0.004757392593041197 
47 x 0.006582348215326208 0.006940347507878789 
47 y -0.007549958412511889 -0.00867136270541487 
47 z -1.0779650162324228e-05 -4.001171237418091e-05 
48 x 0.006582305357373911 0.006978244857289597 
48 y 0.007547513390318376 0.008671315163666468 
48 z -1.2603303441741841e-05 1.7389716818292768e-05 
49 x -0.006583534012091613 -0.006940511157820369 
49 y 0.007552364199156576 0.008672031338654157 
49 z 1.0780250798877231e-05 4.000447007165575e-05 
50 x -0.006583597339945301 -0.0069784557196192944 
50 y -0.007549979232980934 -0.008672003434955316 
50 z 1.2642576702410748e-05 -1.737195381165638e-05 
